filename,size
8d4fcda3d675bac9,1056
39d177fb735ac5df,528
3b8255e0609a700d,1456
95d363d3fbdc0b03,1168
bfc07f9981aa6a5a,528
c27efddbeef2b638,12752
13943e909692962f,9760
884ba9b0c6d1fe97,23872
d86b7bfefc63995d,12592
91528d813bed9dab,15152
62e8ef215accaabd,11376
501795002228fd5d,1792
4141423cd971a4a7,688
6b8dc3a91c90c2f9,2928
ad45079fe1ad7a7a,3040
264e8ba0e0d3f459,18896
f4cd1bff1180670b,8432
c01163f44b9f1cf9,21568
16e84bdea110079c,18176
a7937dbf1575dac9,211504
02951e8a047bf923,38832
44684765ac1dc8a3,10432
3dc5308f5631fe70,14512
b0c8e9bfd70620c1,720
01b15cfd5cc1f6d6,2256
85b6777e5d10871c,1376
668965acf092049f,2256
a0f27ae258a14290,8128
bb704b31bceac66a,1600
88dfade5510ee00b,592
5b98102b35d22c0e,816
3f8534fc59a08d6a,512
fd789f063efc0fe5,15200
0bdc141615d77561,12032
a3917dad7a0a5842,13744
ce51c7d3d042d01b,816
8675317af5de1ff7,464
4b9b4ea93466e544,800
575806325f53a71b,1328
830c79fdba92eff6,1088
870f0aef1a685ecd,14656
7f4877865700076c,4544
242b3540a0d6db29,864
52e95093492246bd,528
aaa7a7facca999d6,18448
83954019471d047a,1792
e92496a7f012411d,14928
68752051536dc95d,20240
dea492d5016288a5,928
a84ab59e2b14c94a,744464
a93ad411df7036e4,116960
3da835f9d0c38d2b,64576
24fe7b609b3f563a,2504544
50c127034577928a,109056
948ebcaf3b561149,32944
f20295351b4b2596,1088
71df79a0ae1d967b,1344
5d2e3078db06c2a3,960
49a8078942b89d83,512992
37ef865da8c7396e,443456
91be79f612c91f68,2624
c824f5634cbf6291,608
7735ab4b841fcb19,1104
c02392c5e810780f,349904
636dcc6371676339,333472
c923b64316e25784,134000
d86ddbf369cea844,101504
0f535731b2ba0444,123936
d8e882303a780ba3,104032
77cbdc41b90ad290,138336
6eabb0d66b5124bf,656
8aeffab5c7c9f999,15333712
a2a7b9b299ce8fab,110016
c9be8653b126fd71,102352
9c031a40668130a0,11616
3bb7d7d1decba7b4,14256
bf01a6d84ccfa688,8544
56fb20aec9e1c77e,20192
1a03999264344abd,37456
2a8458aceecf234a,20176
4314a82f7a92e287,10320
2d3070562e3420eb,2320
77e91effbf6da536,14784
03be6a9d2cdba073,23856
0519c55615254b77,19408
8ff3a435bf758e0c,1824
9cbfa950c335ca40,1056
62560fdbf8b25166,91152
1d8bf5930494379c,512
a87d8c2cbb4ad9ed,32192
63af8a64e55990a6,8512
96331680930bba46,22272
9fec180206dd50b9,34736
292ee0aa6f7b212d,10400
c45fcac826b5d4e7,37728
93e9d8bc41388729,50432
18e8ba6f662e1af0,50640
5552ba7c838cd47f,13888
3fb02f06671d869e,57648
91ed427ee726b017,63088
8d0a059d4d4e730e,14848
04fd71d2e606b433,2416
ecbed7ecffa39e06,720
626e47ea9f8489dc,1616
29701a7554328d58,3072
6d16b33eb5825855,1072
7f96ca4a1db9577a,512
d62a5e46ee422069,1536
ea1603dc108bfff3,79776
d825f816c8b2599b,174320
79f5eb92dfef5c1e,720
0f163f0a3d7e2ced,402640
6aa6cbc20ecb39f3,22304
503953651c30e36a,10080
cee8a95948771b2f,3312
